662.17,663.0,663.93,664.96,666.09,667.31,668.64,670.06,671.58,673.21,674.93,676.75,678.66,680.68,682.8,685.01,687.33,689.74,692.25,694.86,697.57,700.38,703.29,706.29,709.4,712.6,715.91,719.31,722.81,726.41,730.11,733.9,737.8,741.79,745.89,750.08,754.37,758.76,763.25,767.84,772.53,777.31,782.2,787.18,792.26,797.45,802.73,808.11,813.58,819.16,824.84,830.61,836.49,842.46,848.53,854.7,860.97,867.34,873.8,880.37
664.11,664.8,665.58,666.47,667.45,668.53,669.71,670.99,672.37,673.85,675.42,677.1,678.87,680.74,682.71,684.78,686.95,689.22,691.59,694.05,696.62,699.28,702.04,704.9,707.86,710.92,714.08,717.34,720.69,724.15,727.7,731.35,735.1,738.95,742.9,746.95,751.1,755.34,759.69,764.13,768.67,773.31,778.05,782.89,787.83,792.87,798.0,803.24,808.57,814.0,819.53,825.16,830.89,836.72,842.65,848.67,854.8,861.02,867.34,873.76
666.64,667.18,667.82,668.56,669.39,670.33,671.36,672.5,673.73,675.06,676.49,678.02,679.65,681.38,683.21,685.13,687.16,689.28,691.5,693.82,696.24,698.76,701.38,704.09,706.91,709.82,712.83,715.95,719.16,722.47,725.87,729.38,732.99,736.69,740.5,744.4,748.4,752.5,756.7,761.0,765.4,769.89,774.49,779.18,783.98,788.87,793.86,798.95,804.13,809.42,814.81,820.29,825.88,831.56,837.34,843.22,849.2,855.28,861.46,867.73
669.74,670.13,670.63,671.22,671.91,672.7,673.59,674.58,675.67,676.86,678.14,679.53,681.01,682.59,684.28,686.06,687.94,689.91,691.99,694.17,696.44,698.81,701.29,703.86,706.53,709.3,712.17,715.13,718.2,721.36,724.63,727.99,731.45,735.01,738.67,742.43,746.28,750.24,754.29,758.45,762.7,767.05,771.5,776.05,780.7,785.44,790.29,795.23,800.28,805.42,810.66,816.0,821.44,826.98,832.61,838.35,844.18,850.12,856.15,862.28
673.41,673.66,674.01,674.46,675.01,675.66,676.4,677.25,678.19,679.23,680.37,681.61,682.95,684.39,685.92,687.56,689.29,691.13,693.06,695.09,697.22,699.45,701.78,704.2,706.73,709.35,712.07,714.9,717.82,720.84,723.95,727.17,730.49,733.9,737.42,741.03,744.74,748.55,752.46,756.47,760.58,764.78,769.09,773.49,778.0,782.6,787.3,792.1,797.0,801.99,807.09,812.28,817.58,822.97,828.46,834.05,839.74,845.53,851.42,857.4
677.67,677.77,677.98,678.28,678.68,679.19,679.79,680.49,681.28,682.18,683.18,684.27,685.47,686.76,688.15,689.64,691.23,692.92,694.7,696.59,698.57,700.66,702.84,705.12,707.5,709.98,712.56,715.24,718.01,720.89,723.86,726.93,730.1,733.37,736.74,740.21,743.78,747.44,751.21,755.07,759.03,763.1,767.26,771.52,775.87,780.33,784.89,789.54,794.29,799.15,804.1,809.15,814.3,819.54,824.89,830.34,835.88,841.52,847.27,853.11
682.5,682.46,682.52,682.68,682.94,683.29,683.75,684.3,684.96,685.71,686.56,687.51,688.56,689.71,690.95,692.3,693.74,695.28,696.93,698.67,700.51,702.45,704.48,706.62,708.86,711.19,713.62,716.16,718.79,721.52,724.34,727.27,730.3,733.42,736.65,739.97,743.39,746.91,750.53,754.25,758.07,761.99,766.0,770.11,774.33,778.64,783.05,787.56,792.17,796.88,801.68,806.59,811.59,816.69,821.9,827.2,832.6,838.09,843.69,849.39
687.91,687.72,687.64,687.65,687.77,687.98,688.29,688.7,689.21,689.81,690.52,691.32,692.23,693.23,694.33,695.53,696.83,698.23,699.73,701.32,703.02,704.81,706.7,708.7,710.79,712.98,715.26,717.65,720.14,722.72,725.41,728.19,731.07,734.05,737.13,740.31,743.58,746.96,750.43,754.01,757.68,761.45,765.32,769.29,773.36,777.53,781.79,786.16,790.62,795.18,799.84,804.6,809.46,814.42,819.48,824.63,829.89,835.24,840.69,846.25
693.9,693.57,693.34,693.21,693.17,693.24,693.41,693.67,694.03,694.5,695.06,695.72,696.48,697.33,698.29,699.35,700.5,701.75,703.11,704.56,706.11,707.76,709.5,711.35,713.3,715.34,717.48,719.72,722.07,724.51,727.04,729.68,732.42,735.25,738.19,741.22,744.35,747.58,750.91,754.34,757.87,761.5,765.22,769.05,772.97,776.99,781.11,785.33,789.65,794.07,798.58,803.2,807.91,812.73,817.64,822.65,827.76,832.97,838.27,843.68
700.46,699.99,699.61,699.34,699.16,699.08,699.1,699.22,699.44,699.76,700.17,700.69,701.3,702.01,702.83,703.74,704.75,705.85,707.06,708.37,709.77,711.28,712.88,714.58,716.38,718.28,720.28,722.38,724.57,726.87,729.26,731.75,734.34,737.04,739.82,742.71,745.7,748.79,751.97,755.25,758.64,762.12,765.7,769.38,773.16,777.03,781.01,785.08,789.26,793.53,797.9,802.37,806.94,811.61,816.38,821.24,826.21,831.27,836.43,841.69
707.6,706.98,706.46,706.04,705.72,705.5,705.37,705.35,705.42,705.59,705.86,706.23,706.7,707.27,707.94,708.7,709.57,710.53,711.59,712.76,714.02,715.37,716.83,718.39,720.04,721.8,723.65,725.6,727.66,729.81,732.05,734.4,736.85,739.39,742.04,744.78,747.62,750.57,753.61,756.74,759.98,763.32,766.75,770.29,773.92,777.65,781.48,785.41,789.44,793.57,797.8,802.12,806.55,811.07,815.69,820.41,825.23,830.15,835.17,840.28
